slug,key,value,osmium_tag_filter,nom en français dans ID,lien wiki,description en français dans taginfo,lien data item,modifié dans les data items ?,nsi_path,osmose_missing_item,osmose_missing_class,mots clefs à chercher dans les notes,mots clefs pour chercher dans l'auto-complétion,début du message pour les commerces déjà mappés,catégories proches peut-être à afficher aussi sur la page ?
office/insurance,office,insurance,nw/office=insurance,Agence d'assurance,https://wiki.openstreetmap.org/wiki/FR:Tag:office%3Dinsurance,,,,brands/office/insurance,,,,,,
shop/travel_agency,shop,travel_agency,nw/shop=travel_agency,Agence de voyages,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dtravel_agency,A shop selling travel related products and services,,,brands/shop/travel_agency,8310,"['79.11Z', '79.12Z']",,,,
office/estate_agent,office,estate_agent,nw/office=estate_agent,Agence immobilière,https://wiki.openstreetmap.org/wiki/FR:Tag:office%3Destate_agent,A shop which sells and/or rents property.,,,brands/office/estate_agent,8310,['68.31Z'],,,,
office/employment_agency,office,employment_agency,nw/office=employment_agency,Agence pour l'emploi,https://wiki.openstreetmap.org/wiki/FR:Tag:office%3Demployment_agency,,,,brands/office/employment_agency,8310,['78.10Z'],,,,
amenity/food_court,amenity,food_court,nw/amenity=food_court,"Aire de restauration, food-court",https://wiki.openstreetmap.org/wiki/FR:Tag:amenity%3Dfood_court,,,,,,,,,,
shop/pet,shop,pet,nw/shop=pet,Animalerie,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dpet,"Une animalerie, vendant ou proposant des animaux domestiques ou de la nourriture, des accessoires ou services pour ces animaux.",http://wiki.openstreetmap.org/entity/Q5706,,brands/shop/pet,8310,['47.76Z'],,,,"animalerie, jardinerie"
shop/antiques,shop,antiques,nw/shop=antiques,Antiquaire,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dantiques,A shop where you can buy antiques,,,,8310,['47.79Z'],,,,
shop/hearing_aids,shop,hearing_aids,nw/shop=hearing_aids,Audioprothésiste,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dhearing_aids,A shop specialized in selling hearing aids devices,,,brands/shop/hearing_aids,8310,['47.74Z'],,,,
amenity/driving_school,amenity,driving_school,nw/amenity=driving_school,Auto-école,https://wiki.openstreetmap.org/wiki/FR:Tag:amenity%3Ddriving_school,,,,,,,,,,
shop/bag,shop,bag,nw/shop=bag,Bagagerie,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dbag,A shop selling bags.,http://wiki.openstreetmap.org/entity/Q5746,,brands/shop/bag,8310,['47.72B'],,,,
